name,address,cuisine,price,service_style,menu,flavors
Pizza My Heart,"700 Bellomy St, Santa Clara, CA 95050",Pizza,$,Sit-down,Menu extraction failed,Standard
Annie's Sandwiches,"2925 Park Ave, Santa Clara, CA 95050","Vietnamese, Coffee & Tea, Sandwiches",$,Sit-down,Menu extraction failed,Standard
Rocko's Ice Cream Tacos,"2905 Park Ave, Santa Clara, CA 95050","Ice Cream & Frozen Yogurt, Coffee & Tea, Breakfast & Brunch",$,Sit-down,Menu extraction failed,Standard
Benson Marketplace,"500 El Camino Real, Santa Clara, CA 95053",Cafes,$$,Sit-down,Menu extraction failed,Standard
Round Table Pizza,"2615 The Alameda, Santa Clara, CA 95050","Pizza, Salad, Chicken Wings",$$,Takeout/Delivery Available,"Maui Zaui, Garlic Parmesan Twists, Chicken Wings, King Arthur 's Supreme","authentic, fresh"
Santa Clara University - Cafeteria,"500 El Camino Real, Santa Clara, CA 95053","Salad, Breakfast & Brunch, Soup",$$$,Sit-down,Menu extraction failed,Standard
Shawarmaji,"2281 The Alameda, Santa Clara, CA 95050","Middle Eastern, Halal, Wraps",$$,Sit-down,Menu extraction failed,Standard
Akita Sushi,"2251 The Alameda, Santa Clara, CA 95050","Japanese, Sushi Bars, Poke",$$,Sit-down,Menu extraction failed,Standard
Ike's Love & Sandwiches,"2235 The Alameda, Santa Clara, CA 95050",Sandwiches,$$,Sit-down,Menu extraction failed,Standard
Deedee's,"341 Lafayette St, Ste 101, Santa Clara, CA 95050","Buffets, Indian",$$,Sit-down,Menu extraction failed,Standard
Ramen Taka,"2219 The Alameda, Santa Clara, CA 95050",Ramen,$$,Sit-down,Menu extraction failed,Standard
The Hut,"3200 The Alameda, Santa Clara, CA 95050","Bars, Barbeque, New American",$$,Sit-down,Menu extraction failed,Standard
Cramers Bagels,"495 El Camino Real, Ste 131, Santa Clara, CA 95050","Bagels, Breakfast & Brunch, Sandwiches",$,Sit-down,Menu extraction failed,Standard
TOGO'S Sandwiches,"1000 Lafayette St, Ste A, Santa Clara, CA 95050","Sandwiches, Delis, Fast Food",$,Takeout/Delivery Available,Menu extraction failed,"fresh, authentic"
1 Oz Coffee,"549 Benton St, Santa Clara, CA 95050","Coffee & Tea, Coffee Roasteries, Breakfast & Brunch",$,Sit-down,Menu extraction failed,Standard
Hungry Hound,"1000 Lafayette St, Ste C, Santa Clara, CA 95050",American,$,Sit-down,Menu extraction failed,Standard
Toppings Tree Restaurant,"1171 Homestead Rd, Ste 150, Santa Clara, CA 95050",Filipino,$$,Sit-down,Menu extraction failed,Standard
Crepes Bistro,"57 Washington St, Santa Clara, CA 95050","Creperies, Halal, Acai Bowls",$$,Sit-down,Menu extraction failed,Standard
Jasmine Fine Thai Cuisine,"1211 Franklin Mall, Santa Clara, CA 95050","Thai, Salad, Seafood",$$,Sit-down,Menu extraction failed,Standard
Bill's Cafe,"2089 The Alameda, San Jose, CA 95126","Breakfast & Brunch, American",$$,Takeout/Delivery Available,"Two Eggs, Country Fried Steak & Eggs, Smoked Salmon Benedict, Poached Eggs, Steak and Eggs","fresh, crispy"
Home Eat,"638 El Camino Real, Santa Clara, CA 95050",Chinese,$$,Sit-down,Menu extraction failed,Standard
Mountain Mike's Pizza,"1290 Franklin Mall, Santa Clara, CA 95050","Pizza, Chicken Wings",$$,Sit-down,Menu extraction failed,Standard
